Label,Precision,Recall,F1-Score
A1,0.0,0.0,0.0
A2,1.0,0.034482758620689655,0.06666666666666667
A3,0.0,0.0,0.0
B1,1.0,0.10344827586206896,0.1875
B2,0.0,0.0,0.0
B3,0.0,0.0,0.0
B4,1.0,0.05263157894736842,0.1
