,Precision,Recall,F1-Score
A1,0.6666666666666666,0.2857142857142857,0.4
A2,0.6764705882352942,0.7931034482758621,0.7301587301587301
A3,0.6046511627906976,0.7027027027027027,0.65
B1,0.8928571428571429,0.8620689655172413,0.8771929824561403
B2,0.8484848484848485,0.9655172413793104,0.9032258064516129
B3,0.8709677419354839,0.84375,0.8571428571428571
B4,0.7916666666666666,1.0,0.8837209302325582
